id,name,age,city,salary
270,Bob,35,Los Angeles,87929
271,Charlie,28,Chicago,52517
272,Charlie,28,New York,35521
273,David,33,Chicago,74443
274,Charlie,32,New York,77973
275,Bob,20,Houston,40803
276,Bob,34,Los Angeles,92762
277,Bob,21,Houston,89779
278,David,37,Los Angeles,62171
279,Charlie,29,Los Angeles,81565
280,Bob,57,Houston,50004
281,David,53,Los Angeles,68827
282,David,35,Los Angeles,35564
283,Bob,40,Houston,73815
284,Alice,45,Chicago,96552
285,Charlie,25,Chicago,74389
286,Bob,33,Chicago,45957
287,Charlie,51,Houston,92475
288,Alice,44,New York,75715
289,Bob,21,New York,32153
290,Alice,54,Houston,91681
291,David,54,Los Angeles,74220
292,Charlie,50,New York,45321
293,Bob,50,New York,69905
294,Bob,41,Los Angeles,67061
295,David,31,Los Angeles,93900
296,David,28,Chicago,87952
297,Charlie,33,Houston,56612
298,Charlie,24,Los Angeles,85571
299,Alice,27,Los Angeles,33204
300,Charlie,29,Chicago,93022
301,Bob,39,Chicago,82680
302,David,58,Chicago,33648
303,David,36,Houston,54258
304,Charlie,33,Los Angeles,37574
305,Alice,48,New York,43515
306,Charlie,36,Houston,71207
307,David,24,Houston,94917
308,Alice,22,Houston,49628
309,Alice,58,New York,85881
310,David,37,Los Angeles,58409
311,Bob,24,Chicago,41662
312,Bob,21,Los Angeles,87762
313,Alice,43,New York,44087
314,Charlie,56,New York,30424
315,David,35,Los Angeles,99336
316,Alice,37,Los Angeles,99870
317,Bob,59,Houston,83601
318,Charlie,43,Houston,65687
319,David,38,Houston,52697
320,Alice,24,Los Angeles,93703
321,David,25,Houston,91545
322,Charlie,25,Los Angeles,82102
323,Bob,52,Chicago,58621
324,Alice,30,Chicago,41508
325,Alice,22,New York,46034
326,David,22,New York,66322
327,David,20,Houston,59088
328,Alice,26,Houston,67572
329,Charlie,28,Houston,62737
330,Bob,36,Los Angeles,41247
331,David,53,Los Angeles,36362
332,David,50,New York,58683
333,Alice,46,Chicago,83182
334,Alice,52,Los Angeles,35141
335,David,22,New York,81910
336,Charlie,53,New York,73296
337,David,59,New York,71808
338,David,58,Chicago,60843
339,David,51,Chicago,80553
340,Charlie,20,Los Angeles,87645
341,David,30,Los Angeles,92720
342,Alice,49,Los Angeles,57188
343,Alice,42,Los Angeles,69130
344,David,22,Chicago,61286
345,Bob,51,Houston,45726
346,Charlie,21,Chicago,95680
347,Bob,40,New York,44826
348,Bob,43,Los Angeles,96255
349,Bob,39,Houston,53043
350,Charlie,56,Houston,47773
351,Alice,55,New York,59751
352,David,26,Houston,53257
353,Charlie,38,New York,69469
354,Charlie,37,New York,46904
355,Bob,26,New York,37757
356,Charlie,58,Los Angeles,30366
357,Charlie,35,Los Angeles,54130
358,Charlie,24,Los Angeles,80933
359,Alice,50,Los Angeles,79737
360,David,26,Chicago,93012
361,Bob,45,Los Angeles,90448
362,Alice,44,New York,43528
363,Bob,40,Chicago,55135
364,Bob,26,Houston,87306
365,David,27,Houston,34709
366,Bob,42,New York,37992
367,Bob,59,Houston,94763
368,Bob,26,Chicago,80105
369,Bob,56,Los Angeles,82787
370,Alice,52,New York,42872
371,Bob,38,Houston,33410
372,Alice,30,Houston,63134
373,Alice,39,Los Angeles,76789
374,David,26,Los Angeles,52489
375,Bob,26,New York,37831
376,Charlie,54,Houston,32203
377,Bob,25,Houston,43277
378,David,25,Chicago,84515
379,Bob,54,New York,83470
380,David,52,Houston,46941
381,Bob,40,Los Angeles,84272
382,Bob,59,Chicago,32924
383,Bob,57,Chicago,95146
384,David,57,Los Angeles,60636
385,Charlie,26,New York,61393
386,Alice,54,New York,55613
387,Bob,34,Houston,52103
388,David,21,Los Angeles,39491
389,Alice,31,Chicago,61346
390,Alice,58,Los Angeles,45210
391,Alice,39,Houston,40288
392,Bob,32,Houston,78784
393,Charlie,44,New York,62607
394,Alice,27,Chicago,84152
395,Bob,39,Chicago,84880
396,David,27,Los Angeles,53026
397,Charlie,56,New York,87029
398,David,42,Los Angeles,84226
399,Alice,23,Chicago,39750
400,Charlie,41,Houston,52809
401,David,50,Houston,46476
402,David,53,Los Angeles,35832
403,Alice,28,Houston,40795
404,Charlie,51,Los Angeles,98765
405,Charlie,45,Houston,44815
406,Alice,28,New York,64463
407,Charlie,33,Los Angeles,39557
408,David,33,Chicago,30638
409,Charlie,36,New York,50965
410,Bob,41,Houston,39319
411,David,40,Chicago,92114
412,Alice,46,New York,44117
413,Alice,30,Los Angeles,65885
414,David,20,New York,81066
415,David,30,Chicago,60734
416,Bob,24,New York,59727
417,Charlie,53,Los Angeles,34577
418,Charlie,43,Chicago,97213
419,Charlie,58,Houston,66494
420,Alice,27,Houston,31450
421,Bob,36,Chicago,76731
422,Alice,58,Houston,53567
423,Alice,56,Chicago,60912
424,David,39,Houston,98538
425,David,32,Chicago,33101
426,Alice,41,Houston,58219
427,Alice,43,New York,89754
428,Charlie,59,Houston,66295
429,Alice,33,New York,46410
430,Alice,54,Chicago,83492
431,Bob,44,Los Angeles,93081
432,Alice,33,Houston,84739
433,Charlie,42,Los Angeles,89318
434,Alice,37,Houston,88124
435,Alice,44,New York,72683
436,David,31,Houston,73397
437,David,53,New York,60428
438,Charlie,57,Los Angeles,36405
439,Alice,53,Houston,32852
440,Alice,23,Chicago,39225
441,Alice,29,New York,89419
442,Charlie,44,New York,95058
443,Charlie,58,New York,64733
444,Charlie,23,Los Angeles,66583
445,David,32,Los Angeles,94071
446,Alice,56,Houston,35911
447,Alice,32,Los Angeles,64685
448,Bob,51,Houston,74525
449,Bob,21,Los Angeles,59169
450,Alice,49,Chicago,34053
451,Charlie,52,Los Angeles,33986
452,Charlie,22,New York,41264
453,Alice,53,New York,93994
454,Charlie,33,Chicago,84106
455,Charlie,41,New York,89186
456,Charlie,26,Los Angeles,62391
457,Charlie,21,Los Angeles,35581
458,David,53,Los Angeles,54100
459,Bob,22,Los Angeles,67369
460,Alice,24,Houston,61684
461,Bob,36,Los Angeles,42671
462,Charlie,29,Chicago,72327
463,Bob,42,Chicago,37726
464,Bob,35,Los Angeles,91379
465,David,45,Houston,38895
466,Alice,27,New York,44006
467,David,43,Los Angeles,73862
468,Alice,40,Los Angeles,78622
469,Bob,33,Los Angeles,58168
470,David,39,Los Angeles,46846
471,David,54,New York,41682
472,David,45,New York,46875
473,David,20,Los Angeles,86486
474,David,51,Chicago,81494
475,Alice,34,New York,63668
476,David,39,New York,87913
477,Alice,26,Los Angeles,36158
478,Bob,29,Chicago,43730
479,Charlie,39,Houston,69430
480,Bob,50,New York,90472
481,Alice,37,New York,42442
482,Alice,27,Los Angeles,64447
483,Alice,56,Chicago,89070
484,Alice,24,New York,82473
485,Charlie,27,Los Angeles,78683
486,David,33,New York,77995
487,Bob,42,Los Angeles,85078
488,David,49,Houston,66576
489,Charlie,53,New York,49765
490,David,20,Los Angeles,75672
491,Charlie,53,Chicago,43378
492,Bob,58,Los Angeles,83924
493,Bob,39,Houston,60008
494,Charlie,23,New York,53155
495,David,52,Los Angeles,46728
496,David,26,Chicago,34781
497,Bob,51,Houston,40689
498,Alice,57,Houston,49014
499,Bob,30,Chicago,49330
500,David,29,Los Angeles,61055
501,Charlie,46,Houston,38576
502,Bob,35,Los Angeles,39506
503,Charlie,23,Los Angeles,92571
504,Charlie,43,Houston,33857
505,Alice,42,New York,36457
506,Charlie,59,Houston,32054
507,Alice,25,Chicago,86839
508,David,25,Chicago,89490
509,Alice,31,Houston,31010
510,Charlie,23,New York,65323
511,Charlie,25,New York,96009
512,Bob,21,Houston,72893
513,Charlie,21,Chicago,96879
514,Alice,22,New York,33561
515,David,27,Los Angeles,67312
516,Charlie,51,Los Angeles,69282
517,Charlie,35,New York,68443
518,Charlie,27,Chicago,86776
519,Charlie,53,Los Angeles,83216
520,Charlie,41,Chicago,85533
521,David,30,Chicago,73834
522,Charlie,49,Houston,80619
523,Charlie,30,Houston,84056
524,Charlie,27,Chicago,33534
525,Charlie,31,Los Angeles,95072
526,Alice,22,New York,47682
527,Charlie,36,Houston,55767
528,Bob,29,New York,80697
529,Bob,22,Houston,60637
530,David,50,Houston,79723
531,Bob,34,New York,95216
532,Alice,31,Houston,42660
533,Charlie,40,Chicago,37136
534,Bob,53,Houston,43606
535,Bob,45,New York,41301
536,Bob,41,Chicago,69915
537,Charlie,31,Los Angeles,44620
538,Charlie,45,Los Angeles,96356
539,Charlie,36,Houston,68183
540,Charlie,35,Chicago,85523
541,David,38,Los Angeles,43451
542,Bob,21,Houston,89648
543,Alice,58,Chicago,36361
544,Alice,41,New York,46951
545,Alice,53,Chicago,34631
546,Bob,59,Chicago,88588
547,Charlie,27,New York,46101
548,Bob,23,Los Angeles,43362
549,Charlie,36,Houston,41448
550,Bob,53,Chicago,31953
551,Charlie,46,Chicago,93514
552,Bob,20,Houston,30437
553,Charlie,33,Houston,49720
554,Charlie,24,New York,72335
555,Alice,47,Chicago,42443
556,Alice,44,Houston,45448
557,Bob,50,Los Angeles,63911
558,Charlie,53,Houston,37785
559,Bob,49,Chicago,67826
560,Alice,46,Los Angeles,84774
561,Alice,38,New York,57934
562,Bob,35,Los Angeles,67831
563,Charlie,53,New York,78604
564,David,44,New York,56498
565,Alice,46,New York,88069
566,Charlie,36,Los Angeles,74353
567,David,59,Chicago,41413
568,Charlie,52,New York,66557
569,David,40,Chicago,37106
570,Charlie,34,New York,54285
571,Alice,37,Chicago,99720
572,Bob,26,Chicago,94634
573,Bob,55,Houston,99220
574,Alice,44,Houston,93661
575,Charlie,38,Los Angeles,31681
576,Alice,32,Houston,37747
577,Bob,40,Los Angeles,38704
578,Alice,37,Chicago,42399
579,Alice,24,Houston,60620
580,Alice,37,Houston,76131
581,Charlie,31,New York,58304
582,Charlie,35,New York,58554
583,Charlie,48,New York,87178
584,Charlie,21,Chicago,80045
585,Alice,33,New York,59904
586,Charlie,49,New York,89633
587,David,39,Chicago,65468
588,Charlie,42,Chicago,34088
589,Charlie,32,Los Angeles,88725
590,Alice,35,Los Angeles,61483
591,Charlie,52,Chicago,55973
592,Charlie,58,New York,35148
593,Alice,26,Los Angeles,36752
594,Charlie,37,Houston,44000
595,Alice,51,Los Angeles,57333
596,Charlie,41,Chicago,30903
597,Bob,56,Chicago,42579
598,Alice,29,New York,51035
599,Alice,46,Los Angeles,58587
600,David,49,Chicago,83266
601,David,51,Houston,70185
602,Alice,44,Chicago,97192
603,Charlie,38,Houston,73054
604,David,56,Chicago,51280
605,Charlie,30,Chicago,35472
606,David,22,New York,76546
607,Bob,20,Los Angeles,82389
608,David,34,Chicago,69793
609,David,59,Chicago,85596
610,David,42,Los Angeles,35333
611,David,21,Chicago,92345
612,Alice,53,Los Angeles,43301
613,Charlie,23,Houston,30340
614,Bob,49,Los Angeles,81515
615,David,46,Chicago,54767
616,Bob,35,Chicago,69629
617,Bob,41,Houston,60216
618,Bob,44,Houston,55391
619,David,44,Houston,95908
620,Charlie,57,New York,45581
621,David,40,Chicago,94370
622,David,41,Houston,68619
623,Bob,47,Chicago,69665
624,Alice,31,Los Angeles,84070
625,Bob,46,Chicago,56781
626,Bob,45,Chicago,70932
627,Alice,37,Houston,79079
628,David,29,New York,59733
629,Charlie,24,New York,93909
630,Charlie,48,Chicago,79182
631,Alice,42,Los Angeles,48937
632,Bob,20,Chicago,67479
633,Charlie,22,Chicago,72037
634,Charlie,26,New York,40781
635,David,21,Chicago,44319
636,Alice,45,Chicago,58070
637,David,37,Chicago,37807
638,Charlie,42,New York,84263
639,David,28,New York,88434
640,Charlie,56,Chicago,86912
641,Alice,29,New York,31234
642,Bob,30,Los Angeles,44974
643,Charlie,54,Los Angeles,85937
644,David,42,New York,46697
645,Bob,36,Houston,30057
646,Charlie,38,Chicago,96689
647,Alice,27,Chicago,30516
648,Alice,58,Los Angeles,45001
649,Bob,29,Los Angeles,86377
650,David,33,Houston,41580
651,David,36,New York,84528
652,Charlie,33,Chicago,87550
653,David,53,Houston,38789
654,Alice,59,New York,65598
655,Alice,33,New York,83830
656,David,35,Houston,82105
657,Charlie,32,Los Angeles,98341
658,Alice,45,Los Angeles,95538
659,Charlie,21,Los Angeles,43545
660,Bob,32,New York,49759
661,David,37,Los Angeles,69876
662,Charlie,33,Houston,94869
663,David,48,Houston,46391
664,Bob,20,Houston,38468
665,Alice,35,Los Angeles,53375
666,Bob,50,Houston,98613
667,Alice,30,Los Angeles,65055
668,Bob,48,Chicago,61808
669,David,56,Chicago,78052
670,Charlie,36,Los Angeles,37683
671,David,36,New York,55688
672,Bob,52,Los Angeles,94727
673,Bob,47,New York,74383
674,Charlie,47,Los Angeles,98559
675,Bob,46,Los Angeles,89457
676,Alice,59,Los Angeles,98457
677,David,57,Chicago,83645
678,Charlie,25,New York,56528
679,Alice,29,New York,86094
680,David,50,Houston,72031
681,Charlie,36,Houston,93254
682,Charlie,20,Chicago,31176
683,Bob,54,New York,39935
684,Charlie,29,Houston,89404
685,Bob,20,Houston,89808
686,David,43,Houston,87084
687,David,42,Chicago,33186
688,Alice,22,New York,74473
689,David,59,Houston,74532
690,Bob,20,New York,50856
691,Charlie,43,New York,51846
692,Bob,59,Los Angeles,36032
693,Alice,59,Chicago,32027
694,Alice,33,New York,54485
695,Alice,47,New York,46394
696,Alice,37,Los Angeles,98118
697,Charlie,20,Los Angeles,76928
698,David,46,Houston,70908
699,David,41,Houston,38775
700,David,31,Chicago,57424
701,Bob,34,Houston,35991
702,David,24,Los Angeles,52145
703,Bob,35,New York,40529
704,David,52,New York,52162
705,Charlie,34,Los Angeles,82527
706,Charlie,21,New York,95972
707,David,29,New York,42959
708,Alice,30,Chicago,88205
709,Bob,25,New York,31066
710,David,59,Houston,34477
711,Charlie,48,Houston,90656
712,Bob,23,Chicago,73078
713,David,47,Houston,51281
714,David,20,New York,68058
715,David,54,Chicago,36309
716,Bob,38,Chicago,93706
717,Charlie,52,Chicago,73119
718,David,49,Los Angeles,43179
719,Alice,52,Houston,80727
720,David,53,Los Angeles,37484
721,Bob,24,Los Angeles,77821
722,David,20,Houston,89099
723,David,55,Los Angeles,50808
724,Charlie,34,Houston,34239
725,Charlie,52,New York,55625
726,David,31,Chicago,80745
727,Charlie,56,New York,64104
728,Charlie,38,Chicago,70386
729,Charlie,20,Los Angeles,97052
730,Alice,49,Chicago,52886
731,David,23,New York,43623
732,Bob,26,Chicago,43227
733,Alice,58,Chicago,35525
734,David,41,Chicago,57499
735,David,20,New York,34715
736,David,24,Los Angeles,92939
737,Bob,21,Los Angeles,85887
738,David,40,Houston,90941
739,Alice,50,Los Angeles,97754
740,Alice,24,New York,41990
741,Alice,46,Los Angeles,95136
742,Alice,53,Houston,94905
743,Bob,33,Los Angeles,84524
744,Bob,46,Chicago,54161
745,Charlie,35,Chicago,45369
746,Bob,28,New York,42683
747,Alice,46,Houston,36100
748,Bob,45,New York,44975
749,David,35,Chicago,85632
750,Bob,21,Chicago,79040
751,David,27,Houston,88152
752,Bob,54,Houston,93429
753,Charlie,48,Los Angeles,78208
754,Charlie,25,New York,36238
755,Charlie,36,New York,41625
756,Bob,31,Los Angeles,96331
757,Charlie,22,Los Angeles,35564
758,Alice,31,Chicago,71406
759,Charlie,35,Houston,74665
760,David,52,New York,34592
761,Charlie,37,New York,77106
762,Alice,28,New York,88984
763,David,49,Chicago,97542
764,Bob,43,Chicago,65839
765,Bob,51,Los Angeles,74914
766,David,32,New York,86690
767,Charlie,52,New York,46440
768,Bob,59,Chicago,67877
769,Alice,30,New York,86204
770,Bob,32,Houston,43453
771,Bob,52,Houston,68407
772,Alice,57,New York,83434
773,Charlie,38,Houston,35330
774,David,21,Houston,86803
775,David,52,Chicago,95870
776,Bob,49,Houston,32555
777,Alice,54,Houston,33940
778,Alice,38,New York,96468
779,Bob,40,Los Angeles,86820
780,Bob,25,New York,83529
781,Charlie,22,Los Angeles,88339
782,Bob,38,Houston,44799
783,Charlie,22,New York,62663
784,Bob,53,New York,91941
785,Charlie,45,New York,35292
786,Charlie,33,Houston,48047
787,Alice,36,Los Angeles,87074
788,David,51,Houston,52644
789,Charlie,54,Los Angeles,95149
790,David,42,New York,45371
791,David,31,Houston,56287
792,David,23,Los Angeles,95172
793,David,44,Houston,79677
794,Charlie,34,Chicago,56442
795,Bob,54,Houston,45707
796,Alice,39,Chicago,68839
797,Charlie,53,Chicago,76695
798,Bob,23,Los Angeles,75199
799,Bob,58,Chicago,72703
800,Charlie,23,New York,67030
801,Alice,37,Los Angeles,97117
802,David,49,Chicago,33183
803,David,43,New York,93599
804,Bob,32,Houston,76178
805,Alice,25,Chicago,49498
806,Bob,31,Houston,47296
807,Charlie,52,New York,41653
808,David,46,New York,65077
809,Charlie,28,Los Angeles,63127
810,Charlie,30,Chicago,61101
811,Charlie,34,New York,92323
812,David,27,New York,49817
813,David,59,Los Angeles,57163
814,Alice,45,Chicago,65321
815,Bob,52,Houston,54894
816,Alice,30,Chicago,53599
817,Bob,24,Los Angeles,34186
818,Bob,27,Chicago,41695
819,Alice,37,Houston,54881
820,Alice,54,New York,94734
821,Bob,30,Los Angeles,30402
822,Charlie,46,Chicago,65442
823,Charlie,42,New York,82436
824,Alice,51,New York,62244
825,Charlie,44,Chicago,45008
826,Charlie,45,Chicago,59210
827,Charlie,22,Los Angeles,85542
828,David,47,Chicago,93766
829,David,46,Los Angeles,42027
830,David,28,New York,72085
831,Charlie,36,Chicago,53936
832,David,51,New York,97643
833,Bob,35,Los Angeles,41607
834,Alice,38,New York,36782
835,Charlie,57,Chicago,74993
836,Alice,36,Chicago,56467
837,David,43,Houston,49541
838,Bob,59,Los Angeles,74279
839,Alice,27,Chicago,73576
840,Alice,45,New York,81136
841,Charlie,37,Los Angeles,33248
842,Bob,54,Houston,97440
843,Alice,29,Houston,91778
844,Charlie,59,Chicago,72951
845,David,51,Los Angeles,66685
846,Bob,37,Houston,82955
847,Bob,24,New York,84325
848,Bob,32,New York,84018
849,David,51,Los Angeles,82414
850,Bob,20,Houston,91013
851,Charlie,36,Houston,36995
852,Charlie,54,Chicago,46304
853,Alice,41,Los Angeles,60321
854,David,44,New York,64313
855,David,47,Los Angeles,71468
856,Alice,35,Chicago,33572
857,Charlie,21,Houston,42664
858,Charlie,47,Los Angeles,46308
859,Charlie,38,Los Angeles,66768
860,Bob,47,Chicago,46601
861,Charlie,42,Los Angeles,33106
862,Bob,51,Chicago,59191
863,David,32,Chicago,85260
864,David,32,Houston,43423
865,Charlie,51,Houston,75981
866,Bob,26,Chicago,51864
867,Alice,26,Houston,33728
868,David,38,Chicago,90387
869,Alice,41,Los Angeles,32254
870,Charlie,20,New York,54240
871,Charlie,33,New York,53557
872,Charlie,44,New York,63063
873,David,58,Houston,97242
874,David,42,Chicago,77048
875,Bob,38,Los Angeles,64306
876,Alice,33,Houston,35058
877,Bob,37,New York,58126
878,Charlie,26,Houston,99560
879,Charlie,55,Houston,44842
880,David,37,Los Angeles,57381
881,Alice,27,New York,31508
882,David,35,Chicago,55350
883,Alice,26,Houston,81609
884,Charlie,27,New York,65572
885,Bob,51,New York,83824
886,Alice,35,Chicago,87551
887,Charlie,43,Houston,64009
888,David,20,Chicago,52440
889,Bob,30,New York,82152
890,Bob,26,Houston,82000
891,David,31,Chicago,83346
892,Charlie,42,Los Angeles,57104
893,Bob,40,Houston,45402
894,Alice,25,New York,64251
895,David,28,Houston,42978
896,David,44,Los Angeles,31059
897,David,45,Los Angeles,30341
898,Charlie,30,Los Angeles,95460
899,David,54,Los Angeles,52035
